Interviewee's name,Mentioned Name,Start_location,End_location,Sentence
Martin Moeller,Kelly,10,15,I’m Cindy Kelly.
Martin Moeller,Martin,70,76,"It is Tuesday, November 27, 2018, and I have with me Martin Moeller."
Martin Moeller,Moe,77,80,"It is Tuesday, November 27, 2018, and I have with me Martin Moeller."
Tom Carpenter,Kelly,47,52,"I’m Cindy Kelly, and I have with me Tom Carpenter."
Tom Carpenter,Tom,73,76,"I’m Cindy Kelly, and I have with me Tom Carpenter."
Tom Carpenter,Carpenter,77,86,"I’m Cindy Kelly, and I have with me Tom Carpenter."
Tom Carpenter,Thomas,162,168,"It’s Thomas Everett Carpenter, and it’s T-H-O-M-A-S and then Carpenter, C-A-R-P-E-N-T-E-R."
Tom Carpenter,Everett,169,176,"It’s Thomas Everett Carpenter, and it’s T-H-O-M-A-S and then Carpenter, C-A-R-P-E-N-T-E-R."
Tom Carpenter,Daniel,1165,1171,"He ended up talking about this demonstration that was happening at Rocky Flats in 1978 with Daniel Ellsberg and Allen Ginsberg, etc."
Tom Carpenter,Allen,1185,1190,"He ended up talking about this demonstration that was happening at Rocky Flats in 1978 with Daniel Ellsberg and Allen Ginsberg, etc."
Tom Carpenter,Polly,1804,1809,"I went back to Cincinnati and found an ally, a woman named Polly Brokaw, who is a Quaker."
Richard Rhodes’ Interview (2018),Kelly,12,17,": I’m Cindy Kelly, Atomic Heritage Foundation."
Richard Rhodes’ Interview (2018),Richard,100,107,"It is Tuesday, November 27, 2018, and I have with me Richard Rhodes."
Richard Rhodes’ Interview (2018),Rhodes,108,114,"It is Tuesday, November 27, 2018, and I have with me Richard Rhodes."
Richard Rhodes’ Interview (2018),Robert,366,372,Why don’t we start with Robert Oppenheimer and talk about what was going on with this very enigmatic character—who is often a central figure.
Richard Rhodes’ Interview (2018),Leslie,1524,1530,"General Leslie Dick Groves, who at six foot three and 230 pounds was a mighty figure in his own right, and who did run the whole project and ran it well."
Richard Rhodes’ Interview (2018),Dick,1531,1535,"General Leslie Dick Groves, who at six foot three and 230 pounds was a mighty figure in his own right, and who did run the whole project and ran it well."
Richard Rhodes’ Interview (2018),Grove,1536,1541,"General Leslie Dick Groves, who at six foot three and 230 pounds was a mighty figure in his own right, and who did run the whole project and ran it well."
Reginald C. Augustine,Dolores,59,66,Dolores Augustine of St.
Reginald C. Augustine,Augustine,67,76,Dolores Augustine of St.
Reginald C. Augustine,Albert,1286,1292,It was at that time that Albert Einstein wrote his famous letter to President [Franklin] Roosevelt suggesting that America should get into the business of creating an atomic bomb to catch up with the Germans.
Reginald C. Augustine,Einstein,1293,1301,It was at that time that Albert Einstein wrote his famous letter to President [Franklin] Roosevelt suggesting that America should get into the business of creating an atomic bomb to catch up with the Germans.
Reginald C. Augustine,Franklin,1340,1348,It was at that time that Albert Einstein wrote his famous letter to President [Franklin] Roosevelt suggesting that America should get into the business of creating an atomic bomb to catch up with the Germans.
Reginald C. Augustine,Roosevelt,1350,1359,It was at that time that Albert Einstein wrote his famous letter to President [Franklin] Roosevelt suggesting that America should get into the business of creating an atomic bomb to catch up with the Germans.
Reginald C. Augustine,Boris,1791,1796,Colonel [Boris] Pash interviewed me.
Gary Petersen,Kelly,16,21,I’m Cindy Kelly.
Gary Petersen,Gary,76,80,"It is Monday, September 10, 2018, and I have with me Gary Petersen."
Gary Petersen,Petersen,81,89,"It is Monday, September 10, 2018, and I have with me Gary Petersen."
Michele Gerber,Kelly,61,66,"I’m in Richland, Washington, Cindy Kelly."
Michele Gerber,Michele,83,90,"I have with me Michele Gerber, and what I’d like to ask her to do is to tell us her full name and spell it."
Jackie Peterson,Jackie,78,84,"I’m in Seattle, Washington, and I have Jackie Peterson with me."
Jackie Peterson,Peterson,85,93,"I’m in Seattle, Washington, and I have Jackie Peterson with me."
Thomas E. Marceau,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation."
Thomas E. Marceau,Tom,94,97,"I have with me Tom Marceau, and I’d like him to tell us his full name and spell it."
Thomas E. Marceau,Marc,98,102,"I have with me Tom Marceau, and I’d like him to tell us his full name and spell it."
Thomas E. Marceau,Thomas,163,169,Thomas E.
Thomas E. Marceau,Edward,191,197,E is for Edward.
David Holloway,Kelly,11,16,"I am Cindy Kelly with the Atomic Heritage Foundation and it is Monday, May 14, 2018."
David Holloway,David,107,112,I’m in Palo Alto with David Holloway.
David Holloway,Holloway,113,121,I’m in Palo Alto with David Holloway.
David Holloway,Wilson,2028,2034,"I spent a year at the Wilson Center in Washington, and I wrote a paper there on the Soviet decision to build the atomic bomb."
Nancy K. Nelson,Levy,14,18,I’m Alexandra Levy with the Atomic Heritage Foundation.
Nancy K. Nelson,Nancy,123,128,"It is September 13, 2018, and I’m here in Chantilly, Virginia with Nancy Nelson."
Nancy K. Nelson,Nelson,129,135,"It is September 13, 2018, and I’m here in Chantilly, Virginia with Nancy Nelson."
Nancy K. Nelson,Richard,284,291,My husband was Richard H.
Nancy K. Nelson,Dick,550,554,"Dick had finished his four years of college, had gotten a job with Imperial Brass, and was given a job for Arizona in selling fittings and refrigeration."
Phillip Broughton,Kelly,10,15,I’m Cindy Kelly.
Phillip Broughton,Phillip,119,126,I have with me Phillip Broughton.
Phillip Broughton,Phil,645,649,"Phil, I’m going to start by asking a little bit of background for you, like when and where you were born and how you became interested in science."
Kevin Clarno,Kelly,12,17,": I’m Cindy Kelly, Atomic Heritage Foundation."
Kevin Clarno,Kevin,128,133,"I’m in Oak Ridge, Tennessee, and I have with me Kevin Clarno."
"Philip S. Anderson, Jr.",Philip,142,148,"It is Tuesday, May 22, 2018, and I am here with Philip S."
"Philip S. Anderson, Jr.",Anderson,152,160,Anderson.
"Philip S. Anderson, Jr.",Bill,778,782,"He and I walked together, and our mothers stood and watched us, and Bill and I were told to hold hands when we went."
"Philip S. Anderson, Jr.",Bond,995,999,"Bill is your younger brother, was that right? Bill was my younger brother, but this was Bill Bond, the next-door neighbor."
Richard McCardell,Richard,92,99,Richard McCardell.
Gayleen Meservey,Gay,10,13,": Oh, I’m Gayleen Meservey, M-e-s-e-r-v-e-y, first name Gayleen, G-a-y-l-e-e-n."
Bill Ginkel,Bill,88,92,"I’m Bill Ginkel, G-i-n-k-e-l."
Richard Meservey,Richard,47,54,Richard Meservey.
Richard Meservey,Dick,85,89,"Most people call me Dick, and Meservey is spelled M-e-s-e-r-v-e-y."
Richard Meservey,Jim,620,623,"Another fellow who worked at SPERT [Special Power Excursion Reactor Test], Jim Campbell, and myself were both seniors, and Jim came directly out here."
Richard Meservey,Campbell,624,632,"Another fellow who worked at SPERT [Special Power Excursion Reactor Test], Jim Campbell, and myself were both seniors, and Jim came directly out here."
Kathy McCarthy,Kathy,11,16,My name is Kathy McCarthy.
Kathy McCarthy,McCarthy,17,25,My name is Kathy McCarthy.
Thomas Cormier,Kelly,12,17,": I’m Cindy Kelly, Atomic Heritage Foundation."
Thomas Cormier,Tom,95,98,I have with me Tom Cormier.
TJ Paulus,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation, and today is Wednesday, April 25th, 2018."
TJ Paulus,Paul,105,109,I have with me TJ Paulus.
TJ Paulus,Thomas,184,190,Thomas Joseph Paulus.
TJ Paulus,Joseph,191,197,Thomas Joseph Paulus.
TJ Paulus,Sam,1716,1719,"Then, Uncle Sam and the Army for a couple of years."
TJ Paulus,Vaughn,1907,1913,"Blalock, or Theron Vaughn Blalock, who was in the Instrumentation and Controls Division here at the lab [Oak Ridge National Laboratory]."
Eric Pierce,Kelly,10,15,I’m Cindy Kelly.
Eric Pierce,Eric,90,94,"I have Eric Pierce, and my first question for Eric is to please say your name and spell it."
Eric Pierce,Pierce,95,101,"I have Eric Pierce, and my first question for Eric is to please say your name and spell it."
CJ Mitchell,Mitchell,8,16,"It’s CJ Mitchell, Junior."
CJ Mitchell,Harry,178,183,Just like Harry Truman.
CJ Mitchell,Truman,184,190,Just like Harry Truman.
Ronald E. Mickens’ Interview,Kelly,12,17,": I’m Cindy Kelly, Atomic Heritage Foundation, in Washington, D."
Ronald E. Mickens’ Interview,Ronald,103,109,"I have with me Ronald Mickens, and I’d like him to tell his full name and spell it."
Ronald E. Mickens’ Interview,James,912,917,"He [Mickens’s grandfather, James Williamson], always in our discussions, always made me aware that things happen for a reason, and that reason is based upon scientific methodology."
Ronald E. Mickens’ Interview,Williamson,918,928,"He [Mickens’s grandfather, James Williamson], always in our discussions, always made me aware that things happen for a reason, and that reason is based upon scientific methodology."
Zane Bell,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation."
Zane Bell,Zane,113,117,"I am in Oak Ridge, Tennessee, with Zane Bell."
Zane Bell,Bell,118,122,"I am in Oak Ridge, Tennessee, with Zane Bell."
Raymond Sheline’s Lecture,Harold,1164,1170,"Because of this, I received an offer from Urey, Harold Urey, to work in the Division of War Research at Columbia University."
Robert Krauss,Levy,14,18,I’m Alexandra Levy with the Atomic Heritage Foundation.
Robert Krauss,Robert,118,124,"We’re here on September 13, 2018, in Chantilly, Virginia with Robert Krauss."
Robert Krauss,Max,1048,1051,"I was fascinated by the bookEnola Gayby [Max] Morgan-Witts, and I just wanted to do more research."
Robert Krauss,Morgan,1053,1059,"I was fascinated by the bookEnola Gayby [Max] Morgan-Witts, and I just wanted to do more research."
Robert Krauss,George,1777,1783,The first person I found was George Caron.
Robert Krauss,Gay,1828,1831,"George was a tail gunner on theEnola Gay, and he was somewhat public."
Norris Jernigan,Levy,14,18,I’m Alexandra Levy with the Atomic Heritage Foundation.
Norris Jernigan,Norris,115,121,"I’m here on September 13, 2018 in Chantilly, Virginia with Norris Jernigan."
David Holcomb,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation."
David Holcomb,David,60,65,I have with me David Holcomb.
David Holcomb,Isaac,1034,1039,"Growing up, I looked at some of the things like Isaac Asimov—he did some estimations of what free energy would do for the world."
David Holcomb,Bill,1823,1827,"In ’97, [President Bill] Clinton had taken it down to zero."
David Holcomb,Clinton,1829,1836,"In ’97, [President Bill] Clinton had taken it down to zero."
David Holcomb,Ridge,2065,2070,"Fortunately, the NRC [Nuclear Regulatory Commission] was continuing to fund research, and it turns out ORNL [Oak Ridge National Laboratory] had a spot."
Julie Ezold,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation."
Julie Ezold,Julie,95,100,I have with me Julie Ezold.
"William J. Wilcox, Jr.",Bill,13,17,: My name is Bill Wilcox.
"William J. Wilcox, Jr.",Wilcox,18,24,: My name is Bill Wilcox.
"William J. Wilcox, Jr.",William,26,33,William J.
"William J. Wilcox, Jr.",James,226,231,": Why was Oak Ridge chosen for the Manhattan Project? It was one of the first actions of the new Manhattan Project, under Colonel [James] Marshall in the early summer of 1942."
"William J. Wilcox, Jr.",Marshall,233,241,": Why was Oak Ridge chosen for the Manhattan Project? It was one of the first actions of the new Manhattan Project, under Colonel [James] Marshall in the early summer of 1942."
"William J. Wilcox, Jr.",Leslie,1160,1166,"When General [Leslie] Groves looked at it in September, he immediately decided that he would not put the production reactors here."
"William J. Wilcox, Jr.",Grove,1168,1173,"When General [Leslie] Groves looked at it in September, he immediately decided that he would not put the production reactors here."
James Cole,Joe,1074,1077,"The guy on the top, Joe DeLorenzo, he was asleep."
Gordon Fee,Kelly,12,17,: I’m Cindy Kelly.
Gordon Fee,Gordon,70,76,"It is Thursday, April 26, 2018, and I have with me Gordon Fee."
Justin Baba,Kelly,14,19,":   I’m Cindy Kelly, Atomic Heritage Foundation."
Justin Baba,Justin,131,137,"I am in Oak Ridge, Tennessee, and I have with me Justin Baba."
Justin Baba,Baba,138,142,"I am in Oak Ridge, Tennessee, and I have with me Justin Baba."
Budhendra Bhaduri,Kelly,12,17,: I’m Cindy Kelly.
Adam J. Rondinone,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation."
Adam J. Rondinone,Adam,78,82,"Adam, would you please say and spell your name? Adam Justin Rondinone, A-d-a-m J-u-s-t-i-n Rondinone, R-o-n-d-i-n-o-n-e, and that’s Italian."
Adam J. Rondinone,Justin,131,137,"Adam, would you please say and spell your name? Adam Justin Rondinone, A-d-a-m J-u-s-t-i-n Rondinone, R-o-n-d-i-n-o-n-e, and that’s Italian."
Shigeko Uppuluri,Kelly,12,17,: I’m Cindy Kelly.
Roger Cloutier,Roger,149,154,I am here with Roger Cloutier and my first question for you is if you could please tell me your name and spell it.
Roger Cloutier,Joseph,268,274,": My name is Roger Joseph Cloutier, C-L-O-U-T-I-E-R."
Liane Russell,Lee,144,147,I have with me Lee Russell.
Liane Russell,Russell,148,155,I have with me Lee Russell.
Patricia Postma,Kelly,16,21,I’m Cindy Kelly.
Patricia Postma,Pat,107,110,"I go by Pat, but it’s P-a-t-r-i-c-i-a P-o-s-t-m-a."
Patricia Postma,Leslie,1342,1348,"I know when our first school superintendent came, he told General [Leslie] Groves that in order to have a school system that would be adequate for the scientists they wanted to bring here, we needed to have a New York curriculum and New York pay."
Patricia Postma,Grove,1350,1355,"I know when our first school superintendent came, he told General [Leslie] Groves that in order to have a school system that would be adequate for the scientists they wanted to bring here, we needed to have a New York curriculum and New York pay."
Patricia Postma,Thomas,1947,1953,"Your parents were both Manhattan Project– Well, my dad [Thomas Dunigan] came here, was recruited from the Army Signal Corps in Lexington, Kentucky, and my mother did work in the post office for several years after we came to Oak Ridge."
Bob Carter,Levy,18,22,This is Alexandra Levy.
Bob Carter,Robert,62,68,"I am here today on May 22, 2018, with Robert Carter."
Bob Carter,Carter,69,75,"I am here today on May 22, 2018, with Robert Carter."
Hélène Langevin-Joliot,Kelly,12,17,": I’m Cindy Kelly, Atomic Heritage Foundation."
Hélène Langevin-Joliot,Lange,116,121,I have with me Hélène Langevin-Joliot.
Hélène Langevin-Joliot,Pierre,694,700,": I never met Pierre Curie, who died in 1906 in an accident, a street accident."
Hélène Langevin-Joliot,Marie,777,782,I was seven when Marie died.
Robert S. Norris,Robert,11,17,I’m Robert S.
Robert S. Norris,Norris,21,27,"Norris, it’s N-o-r-r-i-s, is the last name."
Robert S. Norris,Marie,394,399,"Marie Curie, who was a central figure in all of this was born in Poland in, I think, 1867."
Robert S. Norris,Pierre,535,541,"She came to Paris to study, and fell in love with Pierre and got married."
Robert S. Norris,Henri,688,693,"Eventually, [for] their work on radium and polonium, which are the two elements that she discovered, she won a Nobel Prize with [Henri] Becquerel, who was also French."
Robert S. Norris,Frederic,1849,1857,"Assistants to Frederic at the laboratory, Hans Halban and [Lew] Kowarski, were two people who eventually—well, the French government eventually asked the Norwegians about their heavy water."
Robert S. Norris,Hans,1877,1881,"Assistants to Frederic at the laboratory, Hans Halban and [Lew] Kowarski, were two people who eventually—well, the French government eventually asked the Norwegians about their heavy water."
Trisha Pritikin,Kelly,12,17,: I’m Cindy Kelly.
Tony Essaye,Kelly,11,16,I am Cindy Kelly.
Tony Essaye,Tony,88,92,I have with me Tony Essaye.
Tony Essaye,Anthony,161,168,: Anthony F.
Tony Essaye,Joe,1157,1160,"My father was able to get me into that program because his older brother, my Uncle Joe, lived in the United States."
Avner Cohen,Levy,14,18,I’m Alexandra Levy.
Avner Cohen,Cohen,50,55,Avner Cohen.
Avner Cohen,Steven,1373,1379,"He was then—he still is—a philosopher, named Steven Lee."
Avner Cohen,Lee,1380,1383,"He was then—he still is—a philosopher, named Steven Lee."
Avner Cohen,Steve,1486,1491,"Steve kind of out of the blue said, “Avner, what about us doing something jointly about the philosophical foundations, the moral issues involved in this anti-nuclear movement of the early ‘80s?” I was on a normal track of converting Ph."
Ruth Huddleston,Ruth,153,157,I am here with Ruth Huddleston.
Garret Martin,Kelly,12,17,": I’m Cindy Kelly, Atomic Heritage Foundation, and this is June 27, 2018."
Garret Martin,Martin,100,106,"Garret Martin, and my first question for you is to say your name and spell it."
Garret Martin,Charles,1249,1256,"One of my professors suggested looking into the 1960s and looking at the relationship between France and the United States, looking at [Charles] de Gaulle in particular, and NATO."
Thomas Mason,Kelly,6,11,"Cindy Kelly: I’m Cindy Kelly, Atomic Heritage Foundation."
Thomas Mason,Thom,142,146,"It is Thursday, April 21 [misspoke: April 19], 2018, and I’m in Columbus, Ohio with Thom Mason."
Thomas Mason,Mason,147,152,"It is Thursday, April 21 [misspoke: April 19], 2018, and I’m in Columbus, Ohio with Thom Mason."
Thomas Mason,Thomas,217,223,Thomas Mason: My name’s Thomas Mason.
Virginia Coleman,Virginia,265,273,"It is Wednesday, April 25, 2018, and I am here with Virginia Coleman."
Virginia Coleman,Coleman,274,281,"It is Wednesday, April 25, 2018, and I am here with Virginia Coleman."
Virginia Coleman,Beach,1602,1607,We had gone to Virginia Beach to celebrate my father’s birthday.
Spencer Weart,Kelly,10,15,"I’m Cindy Kelly, Atomic Heritage Foundation."
Spencer Weart,Spencer,126,133,I have with me Spencer Weart.
John Adams’s Lecture,John,20,24,"The next speaker is John Adams, who is a composer, as you all know, and composed most recently an opera about the Manhattan Project, “Doctor Atomic,” which opened in San Francisco last October [2005]."
John Adams’s Lecture,Adams,25,30,"The next speaker is John Adams, who is a composer, as you all know, and composed most recently an opera about the Manhattan Project, “Doctor Atomic,” which opened in San Francisco last October [2005]."
John Adams’s Lecture,Rosenberg,1859,1868,"I was drawn to this topic—actually, it was a suggestion by a woman named Pamela Rosenberg, who is the General Director of the San Francisco Opera."
John Adams’s Lecture,Faust,2037,2042,"About 1999 or so, she came to me, she had just taken the job, and she said, “I want to commission an American ‘Faust."
John Adams’s Lecture,Robert,2125,2131,I think the topic ought to be Robert Oppenheimer and the Los Alamos story.
Michael Joseloff,Kelly,12,17,: I’m Cindy Kelly.
Michael Joseloff,Michael,86,93,"I’m in New York City, and I have with me Michael Joseloff."
Michael Joseloff,Jose,94,98,"I’m in New York City, and I have with me Michael Joseloff."
Michael Joseloff,Charles,565,572,"The executive producer called me and Charles Krause, our foreign affairs correspondent, into his office and he said, “This new book has just come out, an interview with a guy by the name of [Pavel] Sudoplotov."
Michael Joseloff,Robert,974,980,"Robert] Oppenheimer, and that Oppenheimer had passed secrets to the Soviets."
Astro Teller,Kelly,10,15,I’m Cindy Kelly.
Astro Teller,Eric,92,96,"I have with me Eric, otherwise known as Astro, Teller."
Astro Teller,Gerard,1850,1856,My mother’s father was Gerard Debreu.
Astro Teller,Edward,1931,1937,"My father’s father was Edward Teller, the father of the hydrogen bomb, who helped set up the Lawrence Livermore labs, and who I think we’re going to talk more about today."
Astro Teller,Lawrence,2001,2009,"My father’s father was Edward Teller, the father of the hydrogen bomb, who helped set up the Lawrence Livermore labs, and who I think we’re going to talk more about today."
Benjamin Bederson,Kelly,17,22,My name is Cindy Kelly from the Atomic Heritage Foundation.
Benjamin Bederson,Benjamin,126,134,I have with me Benjamin Bederson.
Benjamin Bederson,David,289,294,"Benjamin, B-E-N-J-A-M-I-N, Bederson, B like Boy, E-D like David, E-R-S-O-N."
Benjamin Bederson,Ben,317,320,"Ben, we were just chatting about your background and your parents, who came from Russia."
Dieter Gruen,Kelly,10,15,"I’m Cindy Kelly, it is Tuesday, February 6, 2018."
William K. Coors,Bill,869,873,"Bill, why don’t you tell her a little bit about going to Phillips Exeter Academy? I didn’t have a pair of long pants."
William K. Coors,John,1351,1355,"Do you want to tell her about your insecurities going to Exeter, and meeting John Ferguson? I was not mature emotionally."
William K. Coors,Ferguson,1356,1364,"Do you want to tell her about your insecurities going to Exeter, and meeting John Ferguson? I was not mature emotionally."
William K. Coors,Julius,1940,1946,"I chose second year Latin and found myself in advanced class, studying Julius Caesar, the conquest of Gaul."
William K. Coors,Caesar,1947,1953,"I chose second year Latin and found myself in advanced class, studying Julius Caesar, the conquest of Gaul."
Samuel Beall Jr.,Kelly,12,17,: I’m Cindy Kelly.
Samuel Beall Jr.,Sam,88,91,"It is Thursday, April 26, 2018, and I’m in Knoxville, Tennessee with Sam Beall."
Samuel Beall Jr.,Samuel,179,185,": My full name is Samuel Erasmus Beall, B-e-a-l-l."
Samuel Beall Jr.,Bell,247,251,"Some people call “Beale,” we call “Bell."
Samuel Beall Jr.,Jimmy,521,526,"Another nuclear was born in Plains, Georgia, named Jimmy Carter, of course."
Samuel Beall Jr.,Carter,527,533,"Another nuclear was born in Plains, Georgia, named Jimmy Carter, of course."
Samuel Beall Jr.,Enrico,994,1000,"By that time, Enrico Fermi had taken the Chicago Pile critical and the DuPont Company had been selected to do the design, development, and building, operational of the reactors required to produce plutonium."
Joanna McClelland Glass,Levy,20,24,: This is Alexandra Levy.
Joanna McClelland Glass,Joanna,87,93,"This is on December 28th, 2017, and I’m here in Florida with Joanna Glass."
Joanna McClelland Glass,Glass,94,99,"This is on December 28th, 2017, and I’m here in Florida with Joanna Glass."
Joanna McClelland Glass,Shakespeare,1478,1489,"In literature, even in high school we had a great deal of Shakespeare, William Wordsworth, [Samuel Taylor] Coleridge,  Percy Bysshe Shelley, things that most Americans don’t run into unless they’re in pretty fancy prep schools."
