interviewee,part_name_related_profiledata,start,end,sentence,sentence_index,absolute_start,absolute_end,Name_NER,Final_Name
Abe Krash,Alan,103,107,"I left the office and I did violate his injunction by talking to my good friend, my very close friend, Alan Strauss, S-t-r-a-u-s-s, who was the business manager and who was majoring in chemistry.",81,8244,8248,['Alan Strauss'],['Alan Strauss']
Abe Krash,Alan,186,190,"After I came back from talking to Kimpton, he’d said, “Look, you got to keep this very secret and confidential.” I did breach that to a very, very, very limited extent by talking to Mr. Alan Strauss.",176,16696,16700,['Alan Strauss'],['Alan Strauss']
Abe Krash,Arnold,13,19,I’ve been at Arnold and Porter for 60 years.,325,27961,27967,"['Arnold', 'Porter']",['Arnold']
Abe Krash,Arnold,24,30,"I came to what was then Arnold, Fortas and Porter and within a few months after I was here they invited me to stay as an associate.",324,27841,27847,"['Arnold', 'Fortas', 'Porter']",['Arnold']
Abe Krash,Arnold,20,26,"I was then hired by Arnold, Fortas and Porter in March of 1953 as a temporary associate to take the place of Pat [Patricia] Wald, who was—I had met Pat Wald at Yale.",317,27302,27308,"['Arnold', 'Fortas', 'Pat', 'Patricia] Wald', 'Pat Wald']",['Arnold']
Abe Krash,Arthur Compton,52,66,"In any event, the reporter wrote this article about Arthur Compton, which appeared – the paper came out on a Friday.",41,3632,3646,['Arthur Compton'],['Arthur Compton']
Abe Krash,Holl,128,132,"Sometime early in April of 1945, I asked one of the reporters for the paper, “Look, let’s do a profile, an article about Arthur Holly Compton.” C-o-m-p-t-o-n.",31,2691,2695,['Arthur Holly Compton'],['Arthur Holly Compton']
Abe Krash,Bartlett,0,8,"Bartlett Gymnasium, which is built right just next to the field – it’s called Bartlett Gymnasium – we went there to work out or play basketball, intramural basketball.",292,25183,25191,"['Bartlett Gymnasium', 'Bartlett Gymnasium']","['Bartlett Gymnasium', 'Bartlett Gymnasium']"
Abe Krash,Compton,0,7,Compton was the Dean of the Division of Physical Sciences at the University of Chicago.,32,2721,2728,['Compton'],['Compton']
Abe Krash,Compton,23,30,"He didn’t tell me that Compton was the head of the Manhattan Project, there was nothing like that.",78,7788,7795,['Compton'],['Compton']
Abe Krash,Compton,50,57,"So I said, “Fine.” About a couple of weeks later, Compton was named to be the President of Washington University in St. Louis.",84,8524,8531,['Compton'],['Compton']
Abe Krash,Broder,6,12,"David Broder was one of my successors, who later became a columnist for theWashington [Post]—very, very fine person.",370,31122,31128,['David Broder'],['David Broder']
Abe Krash,David,33,38,"My social science class was with David Riesman, who later became a very distinguished sociologist.",207,19094,19099,['David Riesman'],['David Riesman']
Abe Krash,Dwight,42,48,"Then he closed his office in 1952, after [Dwight] Eisenhower was elected president, and he shut down his office and he went to Harvard to do research.",316,27174,27180,['Dwight] Eisenhower'],['Dwight] Eisenhower']
Abe Krash,Fermi,93,98,"If you would go there for lunch, for example, or even for dinner, you would see there Enrico Fermi, Leo Szilard.",111,11394,11399,"['Enrico Fermi', 'Leo Szilard']",['Enrico Fermi']
Abe Krash,Frank Knight,13,25,"For example, Frank Knight, who was a very famous economist, taught introductory classes.",205,18962,18974,['Frank Knight'],['Frank Knight']
Abe Krash,Hutchins,19,27,Can you talk about Hutchins and what kind of president he was.,236,21105,21113,['Hutchins'],['Hutchins']
Abe Krash,Hutchins,10,18,"Oh, well, Hutchins remains one of my all-time favorite people.",237,21158,21166,['Hutchins'],['Hutchins']
Abe Krash,Hutchins,0,8,"Hutchins himself was a superb orator, and he would give these just incredibly good speeches.",241,21344,21352,['Hutchins'],['Hutchins']
Abe Krash,Hutchins,0,8,"Hutchins was great, because of the questions he asked about what a university should be doing.",244,21570,21578,['Hutchins'],['Hutchins']
Abe Krash,Hutchins,0,8,"Hutchins was very quick-witted and very, extraordinarily witty and eloquent.",262,22674,22682,['Hutchins'],['Hutchins']
Abe Krash,Hutchins,0,8,"Hutchins came into the locker room and said, “I’m going to make sure this never happens again.” What he did, he came to the board of trustees and said, “Look, we just can’t compete with this.” We just couldn’t.",280,24132,24140,['Hutchins'],['Hutchins']
Abe Krash,Hutchins,4,12,"But Hutchins had recognized the realities that they could not compete because of the academic policies that they followed, unlike other universities.",288,24793,24801,['Hutchins'],['Hutchins']
Abe Krash,Jay,59,62,"I think in the mid-‘30s, there was a fellow by the name of Jay Berwanger, who was an All-American player.",277,23873,23876,"['mid-‘30s', 'Jay Berwanger']",['Jay Berwanger']
Abe Krash,Schwab,52,58,"One of the most famous was a man by the name of Joe Schwab, who was also a scientist.",230,20677,20683,['Joe Schwab'],['Joe Schwab']
Abe Krash,Ely,21,24,"One of them was John Ely, who was a very distinguished constitutional scholar, became the dean of Stanford Law School.",350,29836,29839,['John Ely'],['John Ely']
Abe Krash,Kimpton,19,26,"Unbeknownst to me, Kimpton was also the Personnel Director of the Manhattan Project, but I didn’t know that.",77,7676,7683,['Kimpton'],['Kimpton']
Abe Krash,Kimpton,97,104,"Here I was, of course, in possession of one of the greatest scoops of the twentieth century when Kimpton told me, but I couldn’t say anything about it, needless to say.",90,9647,9654,['Kimpton'],['Kimpton']
Abe Krash,Kimpton,93,100,"In July [misspoke: August], the bomb was dropped in Hiroshima, and it then dawned on me what Kimpton was telling me.",99,10133,10140,['Kimpton'],['Kimpton']
Abe Krash,Kimpton,49,56,"Then, we had, of course, really appreciated what Kimpton was saying to me.",183,17240,17247,['Kimpton'],['Kimpton']
Abe Krash,Kimpton,22,29,"I said, “This is what Kimpton was talking to me about.” It’s interesting, the only other call you had from security was when they suspected you might be writing another article about Compton.",191,17505,17512,['Kimpton'],['Kimpton']
Abe Krash,Lawrence Kimpton,124,140,"He said they had arranged for me on the following Monday morning to see a dean of the college, who was a man by the name of Lawrence Kimpton, later the president of the university.",61,5630,5646,['Lawrence Kimpton'],['Lawrence Kimpton']
Abe Krash,Major,134,139,"But, in any event, about an hour later, two guys show up and they pull out from their pocket identification and sure enough, it was a Major so-and-so and a Captain so-and-so.",47,4266,4271,['Major'],['Major']
Abe Krash,Berger,105,111,"From Yale, I came to Washington and I worked for two years with a solo practitioner by the name of Raoul Berger in his office here in Washington.",314,27008,27014,['Raoul Berger'],['Raoul Berger']
Abe Krash,Robert,0,6,Robert Hutchins came to speak at Rockefeller Chapel on the occasion of V-E Day.,94,9814,9820,['Robert Hutchins'],['Robert Hutchins']
Abe Krash,Strauss,5,12,"And, Strauss, I told him, and he said he didn’t have the foggiest idea either.",83,8401,8408,['Strauss'],['Strauss']
Abe Krash,Szilard,61,68,"If you were some kind of enemy agent, you would see Fermi or Szilard, you wouldn’t know exactly.",146,14137,14144,['Szilard'],['Szilard']
Abe Krash,William,75,82,"When I became the editor of the paper, I was told by a man by the name of [William V.] Morgenstern,who was the Director of Public Relations, a very fine person.",36,3043,3050,['William V.] Morgenstern'],['William V.] Morgenstern']
Abe Krash,York,79,83,"A couple of years later – this is now 1945 – sometime in the late ‘40s, theNew Yorkermagazine ran an article about security violations in connection with the Manhattan Project.",102,10392,10396,['Yorkermagazine'],['Yorkermagazine']
Adam J. Rondinone,Adam,0,4,"Adam Justin Rondinone, A-d-a-m J-u-s-t-i-n Rondinone, R-o-n-d-i-n-o-n-e, and that’s Italian.",3,123,127,['Adam Justin Rondinone'],['Adam Justin Rondinone']
Adam J. Rondinone,Adam,0,4,"Adam, would you please say and spell your name?",2,76,80,['Adam'],['Adam']
Adam J. Rondinone,Adam,0,4,"Adam, you’re here at the Oak Ridge National Laboratory, and you must be a scientist.",5,224,228,['Adam'],['Adam']
Adrienne Lowry,Lowry,34,39,": Oh, my name is Adrienne Kennedy Lowry.",3,346,351,['Adrienne Kennedy Lowry'],['Adrienne Kennedy Lowry']
Adrienne Lowry,Graves,3,9,Al Graves was one the fellows that got seriously burned in that radiation accident that occurred at Los Alamos.,62,4400,4406,['Al Graves'],['Al Graves']
Adrienne Lowry,Graves,15,21,": Yes, well Al Graves got seriously burned, but he recovered from the exposure.",67,4610,4616,['Al Graves'],['Al Graves']
Adrienne Lowry,Alice,0,5,Alice Smith was her name.,385,28871,28876,['Alice Smith'],['Alice Smith']
Adrienne Lowry,Art,181,184,"He had gotten his PhD at Cal, and then worked with the other three scientists who were involved in the discovery of plutonium, Emilio Segré was a physicist, Glenn Seaborg, and then Art Wahl was a graduate student.",33,2262,2265,"['Emilio Segré', 'Glenn Seaborg', 'Art Wahl']",['Art Wahl']
Adrienne Lowry,Art,0,3,"Art Wahl’s PhD thesis was about the purification of plutonium, I think.",34,2294,2297,['Art Wahl’s'],['Art Wahl’s']
Adrienne Lowry,Art,32,35,"So, we had a foursome of poker, Art and Mary joined us, and I think two graduate students and Joe and I played poker and drank this ghastly drink.",214,15624,15627,"['Art', 'Mary', 'Joe']",['Art']
Adrienne Lowry,Art,6,9,I met Art and I met Dave Lipkin and I met Duffield; I met some of these people at Berkeley before I was married and before I got to Los Alamos.,373,28056,28059,"['Art', 'Dave Lipkin', 'Duffield']",['Art']
Adrienne Lowry,Bett,51,55,"I was persuaded to go one Saturday by my neighbor, Betty English.",231,17132,17136,['Betty English'],['Betty English']
Adrienne Lowry,Bett,89,93,"The person who lived in the other half of our duplex was Professor English and his wife, Betty, and they were from the East Coast.",46,3412,3416,['Betty'],['Betty']
Adrienne Lowry,Bob,12,15,She married Bob Duffield during the war.,368,27857,27860,['Bob Duffield'],['Bob Duffield']
Adrienne Lowry,Bob,0,3,"Bob Duffield was a graduate student, I guess.",369,27885,27888,['Bob Duffield'],['Bob Duffield']
Adrienne Lowry,Charlotte,26,35,"The library was set up by Charlotte Serber, and she did a fantastic job.",117,8474,8483,['Charlotte Serber'],['Charlotte Serber']
Adrienne Lowry,Charlotte,4,13,And Charlotte Serberwas the person who was exposed to the first demonstration.,332,24917,24926,['Charlotte Serberwas'],['Charlotte Serberwas']
Adrienne Lowry,Kelly,13,18,": I am Cindy Kelly, Atomic Heritage Foundation from Washington, D.C. and it is Tuesday, January 14, 2014 and I am here with Adrienne Lowry, who was married to Joseph Kennedy, a radio chemist with the Manhattan Project.",0,13,18,"['Cindy Kelly', 'Joseph Kennedy']",['Cindy Kelly']
Adrienne Lowry,Compton,8,15,": Well, Compton took the job of chancellor of Washington University when the war was over.",434,32199,32206,['Compton'],['Compton']
Adrienne Lowry,Compton,0,7,Compton was in Chicago and he was kind of a liais,435,32281,32288,['Compton'],['Compton']
Adrienne Lowry,Cyril,117,122,"We had a fellow who shared responsibility for chemistry in the tech area who was a metallurgist—he was from England, Cyril Smith.",379,28547,28552,['Cyril Smith'],['Cyril Smith']
Adrienne Lowry,Dave,4,8,And Dave Lipkin walked me to the hospital early in the morning [laughs].,422,31491,31495,['Dave Lipkin'],['Dave Lipkin']
Adrienne Lowry,McKibbin,62,70,"Obviously, there was a great deal of construction and Dorothy McKibbin was running an office there in Santa Fe. She was a fantastic woman.",188,13586,13594,['Dorothy McKibbin'],['Dorothy McKibbin']
Adrienne Lowry,McKibbin,60,68,She was an extremely good woman and everybody liked Dorothy McKibbin.,191,13965,13973,['Dorothy McKibbin'],['Dorothy McKibbin']
Adrienne Lowry,Werner,157,163,"And, she provided a fabulous meal, gosh! She was famous for her chocolate cake, and I think a lot of us left Los Alamos with her recipe on how to make Edith Werner’s chocolate cake.",241,17790,17796,['Edith Werner’s'],['Edith Werner’s']
Adrienne Lowry,Graves,47,53,"Next door to us upstairs was “Diz” [Elizabeth] Graves, and I think her husband’s first name is Al, but I am not sure.",61,4327,4333,"['Elizabeth] Graves', 'Al']",['Elizabeth] Graves']
Adrienne Lowry,Frank,141,146,"Oppenheimer was a great horseman because he had been in New Mexico and in the Los Alamos area growing up as a young boy, he and his brother, Frank.",224,16500,16505,['Frank'],['Frank']
Adrienne Lowry,Beth,83,87,"But Teller was a very difficult fellow on the Hill, and a good friend of his, Hans Bethe, who was also a Hungarian, they used to be very good friends.",309,22986,22990,"['Teller', 'Hans Bethe']",['Hans Bethe']
Adrienne Lowry,Beth,29,33,"[Laughs] Her husband is Hans Bethe, a very famous physicist and a wonderful man, a Hungarian.",42,3009,3013,['Hans Bethe'],['Hans Bethe']
Adrienne Lowry,Beth,5,9,Hans Bethe was a terribly nice fellow.,311,23211,23215,['Hans Bethe'],['Hans Bethe']
Adrienne Lowry,Beth,5,9,"Hans Bethe, for instance, went to Cornell.",389,29189,29193,['Hans Bethe'],['Hans Bethe']
Adrienne Lowry,Hans,113,117,"But when this occasion occurred and Teller turned on Oppenheimer and Oppenheimer lost his ability to be cleared, Hans no longer was a friend of Teller’s.",310,23166,23170,"['Teller', 'Hans', 'Teller']",['Hans']
Adrienne Lowry,Henry Barnett,35,48,Jim Nolan was the obstetrician and Henry Barnett was the pediatrician and Louis Hemplemanwas the radiologist.,152,10968,10981,"['Jim Nolan', 'Henry Barnett', 'Louis Hemplemanwas']",['Henry Barnett']
Adrienne Lowry,Chadwick,142,150,":	I guess you had a number that were part of the so-called British mission, like 19 sort of experimental physicists who came over under James Chadwick.",387,29160,29168,['James Chadwick'],['James Chadwick']
Adrienne Lowry,Joe,81,84,"As a matter of fact, when I knew that Wade was going to be born, I was in labor, Joe was in Chicago.",421,31468,31471,"['Wade', 'Joe']",['Joe']
Adrienne Lowry,Joe,37,40,"I cannot remember at what mile limit Joe was allowed, was placed.",268,19743,19746,"['mile', 'Joe']",['Joe']
Adrienne Lowry,Joe,30,33,": Oh, well, Oppenheimer asked Joe to be division leader for the chemistry division and to bring a team of workers to set up the section in the tech area for work on chemistry, whatever it was.",27,1714,1717,['Joe'],['Joe']
Adrienne Lowry,Joe,65,68,"They were all working together at Berkeley and Oppenheimer asked Joe if he would be willing to go to Los Alamos, and of course, he said yes.",37,2525,2528,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,"Joe really believed in security, and not violating any of the rules concerning it.",128,9402,9405,['Joe'],['Joe']
Adrienne Lowry,Joe,6,9,"After Joe died, I finished up so I could teach.",139,9980,9983,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,Joe hired the doctors that came to Los Alamos.,149,10778,10781,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,"Joe had to go to Chicago often, to the Fermi lab.",200,14570,14573,['Joe'],['Joe']
Adrienne Lowry,Joe,5,8,"Yes, Joe and I were invited by Oppie to have dinner there a couple of times.",240,17562,17565,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,"Joe went back to Los Alamos for a consulting project in the summer, and there was a place called the Black Swan Ranch.",244,17937,17940,['Joe'],['Joe']
Adrienne Lowry,Joe,15,18,"[Laughs] :	Did Joe go to the Trinity test?",263,19580,19583,['Joe'],['Joe']
Adrienne Lowry,Joe,29,32,I do not remember who was in Joe’s group.,273,20136,20139,['Joe'],['Joe']
Adrienne Lowry,Joe,69,72,"A lot of wives found out what was going on, but my being the wife of Joe, he never said anything [laughs] about what was going on.",274,20217,20220,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,"Joe, he could not tell me.",280,20692,20695,['Joe'],['Joe']
Adrienne Lowry,Joe,47,50,"[Laughs] :	So, what was your conversation with Joe?",289,21202,21205,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,Joe testified on behalf of Oppenheimer in Washington.,301,22238,22241,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,Joe was a very good legal eagle.,303,22324,22327,['Joe'],['Joe']
Adrienne Lowry,Joe,70,73,"I cannot remember the name of the lawyer, but he was a good friend of Joe’s and he later married Petie, the nurse.",307,22794,22797,['Joe'],['Joe']
Adrienne Lowry,Joe,42,45,"He was a very pleasant lawyer, evidently, Joe like him very much.",308,22880,22883,['Joe'],['Joe']
Adrienne Lowry,Joe,6,9,"Well, Joe was having a terrible time trying to get away from Los Alamos.",320,23963,23966,['Joe'],['Joe']
Adrienne Lowry,Joe,29,32,I met them when I was dating Joe.,374,28222,28225,['Joe'],['Joe']
Adrienne Lowry,Joe,61,64,"Some of the scientists came as professors, but somebody like Joe came as an instructor and his salary was not quite big enough.",403,30179,30182,['Joe'],['Joe']
Adrienne Lowry,Joe,0,3,"Joe would have to go to Chicago or to Oak Ridge or Hanford or wherever, but usually to Chicago.",419,31149,31152,['Joe'],['Joe']
Adrienne Lowry,Joe,4,7,"So, Joe would come home with a bottle of ghastly liqueur and a bottle of Scotch or a bottle of Bourbon.",203,14866,14869,"['Joe', 'Bourbon']",['Joe']
Adrienne Lowry,Jorgensen,26,35,"The fourth family was the Jorgensens, I believe, and I think they were from Sweden.",70,4834,4843,['Jorgensens'],['Jorgensens']
Adrienne Lowry,Ken,43,46,":	And, you were formerly married to Joseph Kennedy, is that correct?",5,463,466,['Joseph Kennedy'],['Joseph Kennedy']
Adrienne Lowry,Juan,50,54,"It was amusing, walking with—I think his name was Juan Lujan—walking with Juan in downtown Santa Fe because he had friends that were around in the streets.",101,7225,7229,"['Juan Lujan', 'Juan']","['Juan Lujan', 'Juan']"
Adrienne Lowry,Joe,9,12,[Laughs] Joe was my instructor in freshmen chemistry.,14,1191,1194,['Laughs] Joe'],['Laughs] Joe']
Adrienne Lowry,Louis Slotin,16,28,: That was with Louis Slotin?,64,4547,4559,['Louis Slotin'],['Louis Slotin']
Adrienne Lowry,Louis Slotin,2,14,: Louis Slotin.,66,4582,4594,['Louis Slotin'],['Louis Slotin']
Adrienne Lowry,Maria,58,63,"I remember the one that I had brought me a gift of one of Maria’s [Montoya Martinez] vases from San Ildefonso, and I was not with it to really appreciate the value of the vase.",353,26630,26635,"['Maria', 'Montoya Martinez']",['Maria']
Adrienne Lowry,Mary,8,12,": Yeah, Mary was a wicked poker player [laughs].",218,15828,15832,['Mary'],['Mary']
Adrienne Lowry,Mary,11,15,"I remember Mary got from her family a pressure cooker, and that was a big help.",337,25374,25378,['Mary'],['Mary']
Adrienne Lowry,Priscilla,0,9,"Priscilla was Oppie’s secretary; a fantastic gal, she was good.",363,27606,27615,['Priscilla'],['Priscilla']
Adrienne Lowry,Priscilla,11,20,"And, I saw Priscilla long after the war.",364,27680,27689,['Priscilla'],['Priscilla']
Adrienne Lowry,Beth,84,88,"Everybody was put to work when they got there and there was a wonderful woman, Rose Bethe, who was assigned to the housing and she assigned everybody a place to live.",41,2898,2902,['Rose Bethe'],['Rose Bethe']
Adrienne Lowry,Sara,39,43,"Then the nurses also came from Wash U, Sarah, and I think the other one was named Petieher nickname was Petie.",153,11081,11085,['Sarah'],['Sarah']
Adrienne Lowry,Sara,0,4,"Sarah eventually ended up marrying one of the graduate students, René Prestwood, and he was from Berkeley.",155,11182,11186,['Sarah'],['Sarah']
Adrienne Lowry,Shirley,63,70,"Dr. Lipkin, who was a chemist, lived downstairs with his wife, Shirley.",60,4272,4279,"['Lipkin', 'Shirley']",['Shirley']
Adrienne Lowry,Teller,44,50,"Of course, the big problem over it was with Teller.",297,21797,21803,['Teller'],['Teller']
Adrienne Lowry,Teller,45,51,"And, if you read the history and everything, Teller proceeded to be a very angry, selfish man.",299,22030,22036,['Teller'],['Teller']
Adrienne Lowry,Wade,51,55,":	So, when you had your first child at Los Alamos, Wade, how did you manage to work and have a baby?",141,10132,10136,['Wade'],['Wade']
Adrienne Lowry,Wade,5,9,"When Wade was born, we had two bedrooms.",414,30837,30841,['Wade'],['Wade']
Adrienne Lowry,Wade,111,115,The Lipkins living below us at Los Alamos was a big help to me because I was just twenty—I was twenty-two when Wade was born.,418,31135,31139,['Wade'],['Wade']
Al Zelver,Zelver,14,20,My name is Al Zelver.,2,259,265,['Al Zelver'],['Al Zelver']
Al Zelver,Bozeman,60,67,"She came with the chairman of Hiroshima Peace Foundation to Bozeman where I live in Montana as a tour to raise three million signatures to present to President Truman [misspoke: Obama] to try to do something about not spreading atomic bombs, but trying to reduce them.",291,22777,22784,"['Bozeman', 'Truman']",['Bozeman']
Al Zelver,Car,231,234,"Theoretically, the decision could have been rescinded, but he says, “I don’t think they will take the opportunity to surrender.” There is this top secret order from General [Thomas T.] Handy, the acting Chief of Staff, to General [Carl Andrew] Spaatz, to drop the atomic bomb on August 3—after August 3, weather permitting, at the earliest possible time.",151,11698,11701,"['Thomas T.] Handy', 'Carl Andrew] Spaatz']",['Carl Andrew] Spaatz']
Al Zelver,Douglas,9,16,"General [Douglas] MacArthur, who was not known to be modest, would arrive every day at a set hour.",315,25184,25191,['Douglas] MacArthur'],['Douglas] MacArthur']
Al Zelver,Douglas,237,244,"You know, you look at a mountain and you see the mountain “They look at a mountain and they see a crevasse with flowers growing in it.” He and an officer in the Supreme Headquarters command were instrumental in finding out what [General Douglas] MacArthur wanted of the Emperor.",379,30107,30114,['Douglas]'],['Douglas]']
Al Zelver,Gould,76,81,"What do I do?” He said, “You phone the St. Francis Hotel, and ask for Major Gould.” He said he learned it from another classmate of ours, who had already seen him.",27,2033,2038,['Gould'],['Gould']
Al Zelver,Gould,112,117,"He said, “He is interviewing people to see if they qualify to be Japanese language officers.” So I phoned Major Gould and made an appointment and went to see him, and was interviewed and was selected then.",30,2308,2313,['Gould'],['Gould']
Al Zelver,Harry,21,26,"Even Vice President [Harry S.] Truman, he wasn’t in the loop to know about it until he was sworn in as president.",176,13374,13379,['Harry S.] Truman'],['Harry S.] Truman']
Al Zelver,Job,5,8,"Like Jobs, if somebody said it would take a week, he would say “I want it done tomorrow.” He went and he rescinded orders.",231,18423,18426,['Jobs'],['Jobs']
Al Zelver,Jorgensen,68,77,"I thought it saved my life, because a couple of weeks before, Major Jorgensen asked me to come to his office and said, “How would you like to volunteer for a mission, Lieutenant?” That means you are going to be going.",188,14270,14279,['Jorgensen'],['Jorgensen']
Al Zelver,Jorgensen,34,43,"It was not a very good—even Major Jorgensen said, “Write your family that they won’t hear from you for a long time, and you will be on diem.” I won’t bore you with the mission that was going on.",194,15019,15028,['Jorgensen'],['Jorgensen']
Al Zelver,Joseph,42,48,But one person who did know about it was [Joseph] Stalin.,177,13508,13514,['Joseph] Stalin'],['Joseph] Stalin']
Al Zelver,Klaus Fuchs,31,42,"One was well known afterwards, Klaus Fuchs, but other than that, we had no inkling.",179,13571,13582,['Klaus Fuchs'],['Klaus Fuchs']
Al Zelver,Leslie,8,14,General Leslie Groves was the engineering officer in charge of the production of the bombs.,217,17233,17239,['Leslie Groves'],['Leslie Groves']
Al Zelver,Norma,0,5,"Norman Cousins, who was the editor of the Saturday Review of Literature, organized a group of Americans to raise the money to bring twenty-four “Hiroshima Maidens” to the United States for plastic surgery.",287,22264,22269,['Norman Cousins'],['Norman Cousins']
Al Zelver,Pat,5,8,"I am Patricia Anne Simpson and I am recording this oral history for the Atomic Heritage Foundation on May 3, 2017, in Studio B of the Visual Communications Building at Montana State University, Bozeman, Montana.",0,5,8,['Patricia Anne Simpson'],['Patricia Anne Simpson']
Al Zelver,Reginald,61,69,The man the foreign correspondent was going to interview was Reginald Blyth.,362,29010,29018,['Reginald Blyth'],['Reginald Blyth']
Al Zelver,Reginald,0,8,Reginald Blyth was an Englishman who came to Japan some years before.,363,29025,29033,['Reginald Blyth'],['Reginald Blyth']
Al Zelver,Oppenheimer,7,18,Robert Oppenheimer.,220,17402,17413,['Robert Oppenheimer'],['Robert Oppenheimer']
Al Zelver,Moran,112,117,"The only memorandum I ever saw was one from the lead negotiator or interrogator, which is Colonel [Sherwood F.] Moran.",106,7775,7780,['Sherwood F.] Moran'],['Sherwood F.] Moran']
Al Zelver,Shigeko,12,19,Her name is Shigeko Sasamori.,273,21478,21485,['Shigeko Sasamori'],['Shigeko Sasamori']
Al Zelver,Steve,239,244,"A Major General who was under him wrote in his memoirs, “General Groves is the world’s worst son of a bitch, bar none.” He said, “But if you had to have somebody in charge of developing an atom bomb, I would choose him.” He was really the Steve Jobs of the atomic bomb.",230,18388,18393,['Steve Jobs'],['Steve Jobs']
Al Zelver,Leeper,6,12,"Steve Leeper, the chairman of the board [of the Hiroshima Peace Culture Foundation], gave a talk saying, “If there were the political will, compared to climate warming, it was the easiest problem to solve, but there is not the political will.” She was standing at the back of the room.",292,22991,22997,['Steve Leeper'],['Steve Leeper']
Al Zelver,Leeper,224,230,"I went up to her and said—because I knew obviously from her face that she had been in Hiroshima—I said, “You and I are probably the only ones in this room, at least in Montana, who probably were in Hiroshima in 1945.” Steve Leeper was standing next to her.",293,23494,23500,['Steve Leeper'],['Steve Leeper']
Al Zelver,Truman,61,67,"Let’s see, nine days later in the diary entry from President Truman, he said, “I am instructing the Secretary of War to drop an atom bomb.” He says that they will be given notice.",148,11194,11200,['Truman'],['Truman']
